ip,date,online_h,fault_h,offline_h
203.0.113.62,2026-08-10,24.00,0,0
203.0.113.84,2026-08-10,24.00,0,0
203.0.113.45,2026-08-10,24.00,0,0
203.0.113.72,2026-08-10,24.00,0,0
203.0.113.70,2026-08-10,24.00,0,0
203.0.113.29,2026-08-10,24.00,0,0
203.0.113.77,2026-08-10,24.00,0,0
203.0.113.32,2026-08-10,24.00,0,0
203.0.113.55,2026-08-10,24.00,0,0
203.0.113.82,2026-08-10,24.00,0,0
203.0.113.60,2026-08-10,24.00,0,0
203.0.113.51,2026-08-10,24.00,0,0
203.0.113.63,2026-08-10,24.00,0,0
203.0.113.73,2026-08-10,24.00,0,0
203.0.113.44,2026-08-10,24.00,0,0
203.0.113.49,2026-08-10,24.00,0,0
203.0.113.87,2026-08-10,24.00,0,0
203.0.113.33,2026-08-10,24.00,0,0
203.0.113.11,2026-08-10,24.00,0,0
203.0.113.48,2026-08-10,24.00,0,0
203.0.113.13,2026-08-10,24.00,0,0
203.0.113.83,2026-08-10,24.00,0,0
203.0.113.91,2026-08-10,24.00,0,0
203.0.113.12,2026-08-10,24.00,0,0
203.0.113.41,2026-08-10,24.00,0,0
203.0.113.69,2026-08-10,24.00,0,0
203.0.113.81,2026-08-10,24.00,0,0
203.0.113.74,2026-08-10,24.00,0,0
203.0.113.37,2026-08-10,24.00,0,0
203.0.113.80,2026-08-10,24.00,0,0
203.0.113.68,2026-08-10,24.00,0,0
203.0.113.59,2026-08-10,24.00,0,0
203.0.113.39,2026-08-10,24.00,0,0
203.0.113.90,2026-08-10,24.00,0,0
203.0.113.50,2026-08-10,24.00,0,0
203.0.113.19,2026-08-10,24.00,0,0
203.0.113.56,2026-08-10,24.00,0,0
203.0.113.85,2026-08-10,24.00,0,0
203.0.113.52,2026-08-10,24.00,0,0
203.0.113.61,2026-08-10,24.00,0,0
203.0.113.36,2026-08-10,24.00,0,0
203.0.113.18,2026-08-10,24.00,0,0
203.0.113.28,2026-08-10,24.00,0,0
203.0.113.27,2026-08-10,24.00,0,0
203.0.113.17,2026-08-10,24.00,0,0
203.0.113.22,2026-08-10,24.00,0,0
203.0.113.54,2026-08-10,24.00,0,0
203.0.113.16,2026-08-10,24.00,0,0
203.0.113.67,2026-08-10,24.00,0,0
203.0.113.89,2026-08-10,24.00,0,0
203.0.113.21,2026-08-10,24.00,0,0
203.0.113.42,2026-08-10,24.00,0,0
203.0.113.38,2026-08-10,24.00,0,0
203.0.113.71,2026-08-10,24.00,0,0
203.0.113.14,2026-08-10,24.00,0,0
203.0.113.43,2026-08-10,24.00,0,0
203.0.113.15,2026-08-10,24.00,0,0
203.0.113.23,2026-08-10,24.00,0,0
203.0.113.26,2026-08-10,24.00,0,0
203.0.113.86,2026-08-10,24.00,0,0
203.0.113.57,2026-08-10,24.00,0,0
203.0.113.35,2026-08-10,24.00,0,0
203.0.113.53,2026-08-10,24.00,0,0
203.0.113.88,2026-08-10,24.00,0,0
203.0.113.31,2026-08-10,24.00,0,0
203.0.113.47,2026-08-10,24.00,0,0
203.0.113.64,2026-08-10,24.00,0,0
203.0.113.65,2026-08-10,24.00,0,0
203.0.113.40,2026-08-10,24.00,0,0
203.0.113.58,2026-08-10,24.00,0,0
203.0.113.24,2026-08-10,24.00,0,0
203.0.113.20,2026-08-10,24.00,0,0
203.0.113.25,2026-08-10,24.00,0,0
203.0.113.79,2026-08-10,24.00,0,0
203.0.113.75,2026-08-10,24.00,0,0
203.0.113.46,2026-08-10,24.00,0,0
203.0.113.30,2026-08-10,24.00,0,0
203.0.113.76,2026-08-10,24.00,0,0
203.0.113.78,2026-08-10,24.00,0,0
203.0.113.97,2026-08-10,24.00,0,0
203.0.113.98,2026-08-10,24.00,0,0
203.0.113.92,2026-08-10,24.00,0,0
203.0.113.100,2026-08-10,24.00,0,0
203.0.113.96,2026-08-10,24.00,0,0
203.0.113.101,2026-08-10,24.00,0,0
203.0.113.93,2026-08-10,24.00,0,0
203.0.113.95,2026-08-10,24.00,0,0
203.0.113.94,2026-08-10,24.00,0,0
203.0.113.99,2026-08-10,24.00,0,0
203.0.113.66,2026-08-10,0,0,0
