ip,state,fault_reason,start_time,end_time,hours,ongoing
203.0.113.81,fault,xid+ib_port_down,2026-07-28 09:52:59,2026-07-28 10:12:59,0.3333,0
203.0.113.81,offline,,2026-07-28 10:12:59,2026-07-28 10:57:59,0.7500,0
203.0.113.90,fault,ib_port_down,2026-07-28 14:02:59,2026-07-28 14:12:59,0.1667,0
203.0.113.89,fault,xid,2026-08-07 20:22:59,2026-08-07 21:02:59,0.6667,0
203.0.113.89,offline,,2026-08-07 21:02:59,2026-08-07 21:12:59,0.1667,0
203.0.113.71,fault,ib_port_down,2026-07-27 17:42:59,2026-07-27 17:52:59,0.1667,0
203.0.113.14,fault,ib_port_down,2026-07-29 23:32:59,2026-07-30 01:27:59,1.9167,0
203.0.113.14,fault,ib_port_down,2026-07-30 03:27:59,2026-07-31 09:22:59,29.9167,0
203.0.113.86,fault,ib_port_down,2026-08-02 15:12:59,2026-08-02 15:22:59,0.1667,0
203.0.113.86,fault,ib_port_down,2026-08-02 21:57:59,2026-08-02 22:07:59,0.1667,0
203.0.113.86,fault,ib_port_down,2026-08-03 05:17:59,2026-08-03 05:27:59,0.1667,0
203.0.113.86,fault,ib_port_down,2026-08-03 05:42:59,2026-08-03 05:52:59,0.1667,0
203.0.113.86,fault,ib_port_down,2026-08-03 06:07:59,2026-08-03 06:17:59,0.1667,0
203.0.113.86,fault,ib_port_down,2026-08-03 12:02:59,2026-08-03 12:12:59,0.1667,0
203.0.113.86,fault,ib_port_down,2026-08-03 12:47:59,2026-08-03 12:57:59,0.1667,0
203.0.113.86,fault,ib_port_down,2026-08-03 15:32:59,2026-08-03 15:42:59,0.1667,0
203.0.113.86,fault,ib_port_down,2026-08-03 21:07:59,2026-08-03 21:17:59,0.1667,0
203.0.113.86,fault,ib_port_down,2026-08-03 21:47:59,2026-08-03 21:57:59,0.1667,0
203.0.113.86,fault,ib_port_down,2026-08-03 22:12:59,2026-08-03 22:22:59,0.1667,0
203.0.113.86,fault,ib_port_down,2026-08-04 04:27:59,2026-08-04 04:37:59,0.1667,0
203.0.113.86,offline,,2026-08-08 12:07:59,2026-08-08 13:02:59,0.9167,0
203.0.113.58,fault,ib_port_down,2026-07-29 23:57:59,2026-07-30 00:07:59,0.1667,0
203.0.113.58,fault,ib_port_down,2026-08-02 08:42:59,2026-08-02 08:52:59,0.1667,0
203.0.113.58,fault,ib_port_down,2026-08-02 09:07:59,2026-08-02 09:17:59,0.1667,0
203.0.113.95,fault,gpu_uncorrectable+xid,2026-07-29 11:17:59,2026-07-29 11:47:59,0.5000,0
203.0.113.95,offline,,2026-07-29 11:47:59,2026-07-29 12:42:59,0.9167,0
203.0.113.95,fault,gpu_uncorrectable+xid,2026-08-08 05:27:59,2026-08-08 10:02:59,4.5833,0
203.0.113.95,offline,,2026-08-08 10:02:59,2026-08-08 10:22:59,0.3333,0
203.0.113.95,fault,gpu_uncorrectable,2026-08-08 10:22:59,2026-08-08 10:37:59,0.2500,0
203.0.113.95,offline,,2026-08-08 10:37:59,2026-08-08 11:22:59,0.7500,0
203.0.113.94,offline,,2026-07-29 11:17:59,2026-08-03 15:42:59,124.4167,0
203.0.113.94,fault,ib_port_down,2026-08-03 15:42:59,2026-08-03 16:57:59,1.2500,0
203.0.113.99,offline,,2026-07-29 11:17:59,2026-08-07 12:22:59,217.0833,0
203.0.113.99,offline,,2026-08-07 21:17:59,2026-08-07 21:42:59,0.4167,0
