ip,period,online_h,fault_h,offline_h,online_pct
203.0.113.62,2026-08,255.25,0.0,0.0,100.0
203.0.113.84,2026-08,255.25,0.0,0.0,100.0
203.0.113.45,2026-08,255.25,0.0,0.0,100.0
203.0.113.72,2026-08,255.25,0.0,0.0,100.0
203.0.113.70,2026-08,255.25,0.0,0.0,100.0
203.0.113.29,2026-08,255.25,0.0,0.0,100.0
203.0.113.77,2026-08,255.25,0.0,0.0,100.0
203.0.113.32,2026-08,255.25,0.0,0.0,100.0
203.0.113.55,2026-08,255.25,0.0,0.0,100.0
203.0.113.82,2026-08,255.25,0.0,0.0,100.0
203.0.113.60,2026-08,255.25,0.0,0.0,100.0
203.0.113.51,2026-08,255.25,0.0,0.0,100.0
203.0.113.63,2026-08,255.25,0.0,0.0,100.0
203.0.113.73,2026-08,255.25,0.0,0.0,100.0
203.0.113.44,2026-08,255.25,0.0,0.0,100.0
203.0.113.49,2026-08,255.25,0.0,0.0,100.0
203.0.113.87,2026-08,255.25,0.0,0.0,100.0
203.0.113.33,2026-08,255.25,0.0,0.0,100.0
203.0.113.11,2026-08,255.17,0.08,0.0,99.97
203.0.113.48,2026-08,255.25,0.0,0.0,100.0
203.0.113.13,2026-08,255.25,0.0,0.0,100.0
203.0.113.83,2026-08,255.25,0.0,0.0,100.0
203.0.113.91,2026-08,255.17,0.0,0.0,100.0
203.0.113.12,2026-08,255.25,0.0,0.0,100.0
203.0.113.41,2026-08,255.25,0.0,0.0,100.0
203.0.113.69,2026-08,255.25,0.0,0.0,100.0
203.0.113.81,2026-08,255.17,0.0,0.08,99.97
203.0.113.74,2026-08,255.25,0.0,0.0,100.0
203.0.113.37,2026-08,255.25,0.0,0.0,100.0
203.0.113.80,2026-08,255.25,0.0,0.0,100.0
203.0.113.68,2026-08,255.25,0.0,0.0,100.0
203.0.113.59,2026-08,255.25,0.0,0.0,100.0
203.0.113.39,2026-08,255.25,0.0,0.0,100.0
203.0.113.90,2026-08,255.25,0.0,0.0,100.0
203.0.113.50,2026-08,255.17,0.0,0.08,99.97
203.0.113.19,2026-08,255.25,0.0,0.0,100.0
203.0.113.56,2026-08,255.25,0.0,0.0,100.0
203.0.113.85,2026-08,255.25,0.0,0.0,100.0
203.0.113.52,2026-08,255.25,0.0,0.0,100.0
203.0.113.61,2026-08,255.25,0.0,0.0,100.0
203.0.113.36,2026-08,255.25,0.0,0.0,100.0
203.0.113.18,2026-08,255.25,0.0,0.0,100.0
203.0.113.28,2026-08,255.25,0.0,0.0,100.0
203.0.113.27,2026-08,255.25,0.0,0.0,100.0
203.0.113.17,2026-08,255.25,0.0,0.0,100.0
203.0.113.22,2026-08,255.25,0.0,0.0,100.0
203.0.113.54,2026-08,255.25,0.0,0.0,100.0
203.0.113.16,2026-08,255.25,0.0,0.0,100.0
203.0.113.67,2026-08,255.25,0.0,0.0,100.0
203.0.113.89,2026-08,254.42,0.67,0.17,99.67
203.0.113.21,2026-08,255.25,0.0,0.0,100.0
203.0.113.42,2026-08,255.25,0.0,0.0,100.0
203.0.113.38,2026-08,255.25,0.0,0.0,100.0
203.0.113.71,2026-08,255.25,0.0,0.0,100.0
203.0.113.14,2026-08,255.25,0.0,0.0,100.0
203.0.113.43,2026-08,255.25,0.0,0.0,100.0
203.0.113.15,2026-08,255.25,0.0,0.0,100.0
203.0.113.23,2026-08,255.25,0.0,0.0,100.0
203.0.113.26,2026-08,255.25,0.0,0.0,100.0
203.0.113.86,2026-08,244.5,9.83,0.92,95.79
203.0.113.57,2026-08,255.25,0.0,0.0,100.0
203.0.113.35,2026-08,255.17,0.08,0.0,99.97
203.0.113.53,2026-08,255.17,0.08,0.0,99.97
203.0.113.88,2026-08,255.25,0.0,0.0,100.0
203.0.113.31,2026-08,255.25,0.0,0.0,100.0
203.0.113.47,2026-08,255.25,0.0,0.0,100.0
203.0.113.64,2026-08,255.25,0.0,0.0,100.0
203.0.113.65,2026-08,255.25,0.0,0.0,100.0
203.0.113.40,2026-08,255.25,0.0,0.0,100.0
203.0.113.58,2026-08,253.83,1.42,0.0,99.44
203.0.113.24,2026-08,255.25,0.0,0.0,100.0
203.0.113.20,2026-08,255.25,0.0,0.0,100.0
203.0.113.25,2026-08,255.25,0.0,0.0,100.0
203.0.113.79,2026-08,255.25,0.0,0.0,100.0
203.0.113.75,2026-08,255.25,0.0,0.0,100.0
203.0.113.46,2026-08,255.25,0.0,0.0,100.0
203.0.113.30,2026-08,255.17,0.08,0.0,99.97
203.0.113.76,2026-08,255.25,0.0,0.0,100.0
203.0.113.78,2026-08,255.25,0.0,0.0,100.0
203.0.113.97,2026-08,255.25,0.0,0.0,100.0
203.0.113.98,2026-08,255.25,0.0,0.0,100.0
203.0.113.92,2026-08,255.25,0.0,0.0,100.0
203.0.113.100,2026-08,255.17,0.0,0.08,99.97
203.0.113.96,2026-08,255.25,0.0,0.0,100.0
203.0.113.101,2026-08,255.25,0.0,0.0,100.0
203.0.113.93,2026-08,255.25,0.0,0.0,100.0
203.0.113.95,2026-08,249.33,4.83,1.08,97.68
203.0.113.94,2026-08,190.33,1.17,63.75,74.57
203.0.113.99,2026-08,98.58,0.0,156.67,38.62
203.0.113.66,2026-08,0.0,0.0,0.08,0.0
